model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp2048 (c1),1122.9883685524917,14.396759556099958,1122.9883685524917,14.396759556099958,,,,,1826.006177997139,23.288626485410774,1824.0039943290565,23.288626485410774,1826.006177997139,23.288626485410774
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 (c1),41.40375544584223,6.334367576573205,41.40375544584223,6.334367576573205,42.0,6.377042156569663,42.0,6.377042156569663,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp2048 (c2),677.1118928354914,13.453552001958537,583.7976490126663,301.2001217815861,,,,,4360.19902699627,1756.0248029136917,4358.196843328187,1756.0248029136917,4360.19902699627,1756.0248029136917
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 (c2),41.95568138706661,3.58026334260034,49.12557757531251,4.445864538998473,52.0,1.4142135623730951,49.5,4.425306015783918,,,,,,
