model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp8192 (c1),1165.6809538178368,24.157072077820853,1165.6809538178368,24.157072077820853,,,,,7031.857395670765,147.68959643235823,7030.712529677355,147.68959643235823,7031.857395670765,147.68959643235823
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 (c1),45.00586325001863,3.5499090879208373,45.00586325001863,3.5499090879208373,45.666666666666664,3.7712361663282534,45.666666666666664,3.7712361663282534,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp8192 (c2),979.6465796655463,40.22505057472821,554.77071301028,67.42442412195597,,,,,14991.669511330352,1848.1264662609558,14990.524645336942,1848.1264662609558,14991.669511330352,1848.1264662609558
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 (c2),43.86534640561241,4.187767652534352,49.84857869801301,7.438936748570686,55.333333333333336,5.185449728701348,50.333333333333336,7.295356209413097,,,,,,
