-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us        3.771s        96.05%        3.771s      75.411ms            50  
                               vllm::moe_forward_shared         8.71%     362.979ms        28.97%        1.207s     563.702us        1.486s        37.86%        1.764s     823.354us          2142  
void exl3_moe_kernel<4, 256>(__half const*, __half*,...         0.00%       0.000us         0.00%       0.000us       0.000us        1.485s        37.82%        1.485s     693.188us          2142  
                                               aten::mm         4.13%     172.138ms         6.13%     255.467ms      11.870us        1.450s        36.93%        1.450s      67.371us         21522  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     989.245ms        25.20%     989.245ms     117.557us          8415  
                                       vllm::all_reduce         2.51%     104.451ms         3.77%     157.023ms      30.185us     602.322ms        15.34%     602.617ms     115.843us          5202  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     602.322ms        15.34%     602.322ms     115.787us          5202  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     414.074ms        10.55%     414.074ms      33.007us         12545  
                  execute_context_1(11)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     105.681ms         2.69%     105.681ms     105.681ms             1  
                      vllm::mhc_fused_post_pre_tilelang        13.27%     552.992ms        15.68%     653.599ms     143.996us     104.714ms         2.67%     104.826ms      23.094us          4539  
                              mhc_fused_tilelang_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      86.183ms         2.20%      86.183ms      18.987us          4539  
                                            aten::copy_         1.93%      80.355ms         5.11%     212.833ms       5.572us      50.996ms         1.30%      51.047ms       1.337us         38194  
void gemmSN_NN_kernel<float, 256, 4, 2, 8, 4, 4, fal...         0.00%       0.000us         0.00%       0.000us       0.000us      36.919ms         0.94%      36.919ms      67.125us           550  
            fused_recurrent_gated_delta_rule_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      36.471ms         0.93%      36.471ms      21.453us          1700  
                                    Command Buffer Full         0.21%       8.652ms         0.21%       8.652ms      73.947us      29.006ms         0.74%      29.006ms     247.912us           117  
                                              aten::bmm         0.32%      13.317ms         0.41%      17.158ms      14.628us      24.875ms         0.63%      24.875ms      21.206us          1173  
                                       vllm::all_gather         0.14%       5.718ms         0.23%       9.453ms      92.678us      24.729ms         0.63%      25.620ms     251.176us           102  
