-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us        3.774s        93.98%        3.774s      75.471ms            50  
                               vllm::moe_forward_shared         8.68%     362.276ms        28.67%        1.196s     558.500us        1.445s        35.99%        1.684s     786.347us          2142  
void exl3_moe_kernel<4, 256>(__half const*, __half*,...         0.00%       0.000us         0.00%       0.000us       0.000us        1.443s        35.95%        1.443s     673.873us          2142  
                                               aten::mm         4.07%     169.679ms         6.07%     253.294ms      11.769us        1.427s        35.55%        1.427s      66.318us         21522  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     980.382ms        24.42%     980.382ms     116.504us          8415  
                                       vllm::all_reduce         2.71%     113.083ms         3.99%     166.337ms      31.976us     749.941ms        18.68%     750.320ms     144.237us          5202  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     749.941ms        18.68%     749.941ms     144.164us          5202  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     400.072ms         9.96%     400.072ms      31.891us         12545  
                  execute_context_1(11)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     107.864ms         2.69%     107.864ms     107.864ms             1  
                      vllm::mhc_fused_post_pre_tilelang        13.13%     547.687ms        15.56%     649.166ms     143.020us     104.770ms         2.61%     104.850ms      23.100us          4539  
                              mhc_fused_tilelang_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      85.439ms         2.13%      85.439ms      18.823us          4539  
                                            aten::copy_         1.92%      80.227ms         5.08%     211.932ms       5.549us      54.380ms         1.35%      54.397ms       1.424us         38194  
void gemmSN_NN_kernel<float, 256, 4, 2, 8, 4, 4, fal...         0.00%       0.000us         0.00%       0.000us       0.000us      37.087ms         0.92%      37.087ms      67.431us           550  
                                       vllm::all_gather         0.18%       7.317ms         0.28%      11.869ms     116.358us      34.493ms         0.86%      35.352ms     346.587us           102  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      34.493ms         0.86%      34.493ms     338.168us           102  
                                              aten::bmm         0.34%      14.093ms         0.43%      18.001ms      15.346us      29.561ms         0.74%      29.561ms      25.201us          1173  
            fused_recurrent_gated_delta_rule_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      29.201ms         0.73%      29.201ms      17.177us          1700  
