-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us        3.773s        88.85%        3.773s      75.463ms            50  
                                               aten::mm         4.10%     171.405ms         6.06%     253.671ms      11.787us        1.455s        34.25%        1.456s      67.662us         21522  
                               vllm::moe_forward_shared         8.75%     366.162ms        28.94%        1.211s     565.564us        1.449s        34.11%        1.691s     789.448us          2142  
void exl3_moe_kernel<4, 256>(__half const*, __half*,...         0.00%       0.000us         0.00%       0.000us       0.000us        1.447s        34.07%        1.447s     675.483us          2142  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     991.784ms        23.35%     991.784ms     117.859us          8415  
                                       vllm::all_reduce         2.44%     102.143ms         3.69%     154.584ms      29.716us     957.895ms        22.56%     958.628ms     184.281us          5202  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     957.895ms        22.56%     957.895ms     184.140us          5202  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     415.524ms         9.78%     415.524ms      33.123us         12545  
                  execute_context_1(11)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     106.769ms         2.51%     106.769ms     106.769ms             1  
                      vllm::mhc_fused_post_pre_tilelang        13.24%     554.063ms        15.64%     654.744ms     144.248us     104.039ms         2.45%     104.101ms      22.935us          4539  
                              mhc_fused_tilelang_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      84.381ms         1.99%      84.381ms      18.590us          4539  
                                            aten::copy_         1.96%      81.968ms         5.12%     214.483ms       5.616us      56.706ms         1.34%      56.722ms       1.485us         38194  
void gemmSN_NN_kernel<float, 256, 4, 2, 8, 4, 4, fal...         0.00%       0.000us         0.00%       0.000us       0.000us      37.357ms         0.88%      37.357ms      67.922us           550  
            fused_recurrent_gated_delta_rule_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      29.432ms         0.69%      29.432ms      17.313us          1700  
                                              aten::bmm         0.32%      13.454ms         0.41%      17.213ms      14.674us      29.205ms         0.69%      29.205ms      24.898us          1173  
                                       vllm::all_gather         0.13%       5.463ms         0.22%       9.073ms      88.953us      22.049ms         0.52%      22.802ms     223.551us           102  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      22.049ms         0.52%      22.049ms     216.168us           102  
