-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        vllm::sparse_attn_indexer_kpool         1.96%      82.048ms         3.75%     156.788ms     279.479us       5.282ms         0.13%      19.634ms      34.998us           561  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.062ms         0.13%       5.062ms       2.362us          2143  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.973ms         0.12%       4.973ms       2.322us          2142  
                                           aten::arange         0.57%      23.747ms         2.36%      98.575ms       8.505us       4.663ms         0.12%       9.328ms       0.805us         11590  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.515ms         0.11%       4.515ms       1.428us          3162  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       4.238ms         0.11%       4.238ms       0.796us          5326  
                            layer_norm_gated_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.132ms         0.10%       4.132ms       2.383us          1734  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.874ms         0.10%       3.874ms       1.337us          2897  
                                     aten::scatter_add_         0.31%      13.020ms         0.51%      21.398ms       9.990us       3.714ms         0.09%       3.716ms       1.735us          2142  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       3.714ms         0.09%       3.714ms       1.734us          2142  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.641ms         0.09%       3.641ms       1.741us          2091  
                                    Command Buffer Full         0.06%       2.445ms         0.06%       2.445ms      87.330us       3.503ms         0.09%       3.503ms     125.120us            28  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.318ms         0.08%       3.318ms       1.549us          2142  
