model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp8192 (c1),1287.4724852275199,20.683294114531943,1287.4724852275199,20.683294114531943,,,,,6365.907128437862,105.45734008639172,6364.548404093108,105.45734008639172,6374.6895061049145,128.97936586262924
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 (c1),44.07728214214816,5.433554857342422,44.07728214214816,5.433554857342422,44.666666666666664,5.374838498865699,44.666666666666664,5.374838498865699,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp8192 (c2),1082.7348204033349,27.52577259825566,743.2649835695225,202.08343286389203,,,,,11905.387097945399,3247.4342266345434,11904.028373600644,3247.4342266345434,11905.387097945399,3247.4342266345434
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 (c2),28.072769490581535,1.2518241020696146,47.9039332691704,5.921045711476767,51.888888888888886,5.152010275275391,48.27777777777778,5.876559420041964,,,,,,
