model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp8192 (c1),1244.7445943786113,74.23744270138631,1244.7445943786113,74.23744270138631,,,,,6606.748974998482,411.2103144272639,6605.794389654572,411.2103144272639,6606.748974998482,411.2103144272639
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 (c1),52.32966188048456,5.676945941791403,52.32966188048456,5.676945941791403,53.0,5.656854249492381,53.0,5.656854249492381,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp8192 (c2),1090.033882125578,36.713988470602295,731.3391023291425,190.51033543580255,,,,,12003.953330024766,3089.67952970596,12002.998744680857,3089.67952970596,12003.953330024766,3089.67952970596
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 (c2),29.423174867691376,0.8815267043405127,51.04518176495743,3.9791942917460434,54.0,2.449489742783178,51.5,3.947573094109004,,,,,,
