model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp2048 (c1),1134.1526811432693,20.079859428702488,1134.1526811432693,20.079859428702488,,,,,1807.5262636702973,32.33784898202134,1806.3258696638513,32.33784898202134,1807.5262636702973,32.33784898202134
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 (c1),47.54183161593332,1.7566070458651504,47.54183161593332,1.7566070458651504,48.333333333333336,1.699673171197595,48.333333333333336,1.699673171197595,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp2048 (c2),647.7032896426496,5.032243277155376,578.3743913790869,309.01059007415114,,,,,4489.354883500103,1892.239532965695,4488.154489493657,1892.239532965695,4489.354883500103,1892.239532965695
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 (c2),41.32606957894845,3.170393442819706,47.90916961215124,3.92989268845498,51.333333333333336,4.027681991198191,48.5,4.0722639076235385,,,,,,
