model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp2048 (c1),959.0465504569561,282.1899609146096,959.0465504569561,282.1899609146096,,,,,2398.766533001132,889.5346487979925,2397.1238840022124,889.5346487979926,2398.766533001132,889.5346487979925
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 (c1),44.685893599670656,6.562254798931854,44.685893599670656,6.562254798931854,45.0,6.48074069840786,45.0,6.48074069840786,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp2048 (c2),669.2579579405169,14.516998438415945,578.7705315205807,297.4781395327823,,,,,4401.62566833169,1783.956828350052,4399.98301933277,1783.956828350052,4401.62566833169,1783.956828350052
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 (c2),43.1541013889987,4.207084825580509,50.896683809796066,4.655627600589769,55.333333333333336,2.0548046676563256,51.5,4.573474244670748,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp2048 (c5),546.3847575167047,4.056265885509103,328.6906308719566,357.8166549799932,,,,,11709.270427932886,5913.23936272074,11707.627778933966,5913.239362720739,11709.270427932886,5913.23936272074
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 (c5),33.1388867373118,1.4430038997138568,50.57894352553357,5.504926985683991,57.333333333333336,2.357022603955158,51.0,5.477225575051661,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp2048 (c10),489.66900357410844,12.730723052989658,176.2134313749811,237.2285977057643,,,,,23361.952879697492,12521.512379238406,23360.310230698582,12521.512379238407,23361.952879697492,12521.512379238406
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 (c10),30.417198190047984,1.2094164512850365,46.69194635771916,6.902991517703758,58.0,5.887840577551898,47.233333333333334,6.941101417562554,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_pp @ d4096 (c1),1151.7075956298943,7.409414931222241,1151.7075956298943,7.409414931222241,,,,,3559.1162533334377,22.859158793073668,3557.4736043345183,22.859158793073668,3559.1162533334377,22.859158793073668
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_tg @ d4096 (c1),41.64628618509703,6.206842261287729,41.64628618509703,6.206842261287729,42.333333333333336,6.342099196813483,42.333333333333336,6.342099196813483,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp2048 @ d4096 (c1),861.6944453584641,2.816444563124621,861.6944453584641,2.816444563124621,,,,,2378.380533666738,7.752079243990747,2376.7378846678184,7.752079243990747,2378.380533666738,7.752079243990747
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 @ d4096 (c1),40.54934974603844,3.1757025787307223,40.54934974603844,3.1757025787307223,41.0,3.265986323710904,41.0,3.265986323710904,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_pp @ d4096 (c2),870.2751531020572,7.6106374673762405,547.5741640478822,112.41054902662162,,,,,7813.040887335471,1604.2737147627674,7811.398238336551,1604.273714762768,7813.040887335471,1604.2737147627674
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_tg @ d4096 (c2),40.83227541317995,1.5565961233143888,45.68369320031741,4.530916460572339,49.666666666666664,0.9428090415820634,46.166666666666664,4.487637339278753,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp2048 @ d4096 (c2),575.1225168068191,7.42540052589066,392.74576760673466,105.21561387588812,,,,,5619.405120666973,1505.4389555754854,5617.762471668054,1505.4389555754854,5619.405120666973,1505.4389555754854
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 @ d4096 (c2),43.22337072421228,0.99638817554439,45.428939975977464,2.892307287955824,48.333333333333336,0.9428090415820634,46.0,2.581988897471611,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_pp @ d4096 (c5),714.0206261119177,10.965268437422436,304.4012920354875,188.00884290824885,,,,,18012.551695934962,8066.8851392335855,18010.909046936045,8066.8851392335855,18012.551695934962,8066.8851392335855
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_tg @ d4096 (c5),25.090375421995315,0.412968624887857,43.01983946196848,6.283699608813475,52.0,2.8284271247461903,43.6,6.343500610861483,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp2048 @ d4096 (c5),418.4576075740729,29.458619613662123,186.72933906855278,116.37652314953668,,,,,14898.315720599689,7053.953161057557,14896.67307160077,7053.953161057556,14898.315720599689,7053.953161057557
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 @ d4096 (c5),29.16231640450185,3.255304041249447,43.70475177993048,9.12103787324949,56.333333333333336,2.8674417556808756,44.333333333333336,9.008637830191397,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_pp @ d4096 (c10),682.1407452620646,6.451559281502018,192.47929345079407,172.59351092176308,,,,,34049.92756446736,17463.238646329206,34048.28491546845,17463.238646329206,34049.92756446736,17463.238646329206
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_tg @ d4096 (c10),22.31509705618738,0.36103404255885674,42.30019681256745,4.994094488935884,50.333333333333336,2.0548046676563256,42.833333333333336,5.033774815075551,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp2048 @ d4096 (c10),425.2268999152927,10.814132990674809,132.1314647730847,137.66977382527364,,,,,26864.918409864185,14190.34013942108,26863.275760865276,14190.34013942108,26872.659894031432,14193.294566321936
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 @ d4096 (c10),26.90829055778263,0.9625913682562945,43.895260249854594,8.119173596380623,59.333333333333336,5.436502143433364,44.4,8.114185110040317,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_pp @ d8192 (c1),1198.5235848780078,3.4598237631217064,1198.5235848780078,3.4598237631217064,,,,,6837.6100753375795,19.7079427482557,6835.96742633866,19.7079427482557,6837.6100753375795,19.7079427482557
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_tg @ d8192 (c1),44.40104751751377,4.492530640736283,44.40104751751377,4.492530640736283,45.0,4.320493798938574,45.0,4.320493798938574,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp2048 @ d8192 (c1),763.4110017036795,1.6549076122797344,763.4110017036795,1.6549076122797344,,,,,2684.3517140029385,5.809750785431181,2682.709065004019,5.809750785431181,2708.543938002549,36.009389480287496
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 @ d8192 (c1),46.58849111027129,0.5458163696411087,46.58849111027129,0.5458163696411087,47.333333333333336,0.4714045207910317,47.333333333333336,0.4714045207910317,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_pp @ d8192 (c2),1013.7814958140451,7.24642261342571,692.2050527614797,185.28331707506354,,,,,12751.373448001686,3413.5154380493946,12749.730799002768,3413.5154380493937,12751.373448001686,3413.5154380493946
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_tg @ d8192 (c2),25.997704567439893,0.5703680410621856,43.52131904567397,3.06368305450163,46.0,0.816496580927726,44.0,2.943920288775949,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp2048 @ d8192 (c2),491.60579142096867,2.2658568114178435,338.3602175678938,91.78393295312623,,,,,6535.190674165885,1772.6234661383858,6533.548025166965,1772.623466138386,6547.477921834798,1784.7842170723059
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 @ d8192 (c2),36.16052540555921,2.6311105344509667,39.74783131410771,5.067087715254395,44.666666666666664,1.699673171197595,40.333333333333336,5.153208277913436,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_pp @ d8192 (c5),900.9644863156473,15.260611248903144,399.47661097170175,252.09240460671236,,,,,27922.570683667436,12928.421247222555,27920.928034668512,12928.421247222557,27922.570683667436,12928.421247222555
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_tg @ d8192 (c5),16.155575722679085,0.513686350454389,40.11580315453737,4.416873023731555,45.333333333333336,3.299831645537222,40.6,4.454211490264018,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp2048 @ d8192 (c5),435.0656711868657,10.044329858940277,194.08166895520404,137.01984097152413,,,,,14929.26277887018,6882.5384031186295,14927.620129871262,6882.538403118628,14929.26277887018,6882.5384031186295
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 @ d8192 (c5),28.63665892499104,1.1164075862029297,45.744205179752825,5.1067906350424215,52.333333333333336,1.247219128924647,46.2,5.035871324805668,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_pp @ d8192 (c10),872.1770786409528,6.94996531532655,254.2569425080897,230.42175087530924,,,,,52228.54235003275,27328.14375314236,52226.89970103382,27328.14375314236,52228.54235003275,27328.14375314236
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_tg @ d8192 (c10),14.5318928510386,0.1106276588094233,40.46836343248978,3.8347009344862046,48.0,0.816496580927726,40.96666666666667,3.8425975011124387,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp2048 @ d8192 (c10),365.7179009948724,47.16337774739733,120.4391998432479,122.2046152290286,,,,,30272.542865231906,17529.259350952252,30270.900216232993,17529.259350952256,30278.03380123223,17528.867184357412
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 @ d8192 (c10),23.321431443507226,2.7887473188231486,45.498906599971775,8.434524164723543,58.0,2.8284271247461903,45.9,8.387888093356198,,,,,,
