model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp8192 (c1),1233.0455839876706,8.020760109932828,1233.0455839876706,8.020760109932828,,,,,6645.205978003408,43.22775122524972,6643.993395012028,43.22775122524972,6645.205978003408,43.22775122524972
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 (c1),44.69234503311964,4.758305613653633,44.69234503311964,4.758305613653633,45.0,4.898979485566356,45.0,4.898979485566356,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp8192 (c2),1028.6271915763843,22.888575481302723,675.077237046943,257.81514152297785,,,,,13375.426059336556,3321.4978271862587,13374.213476345176,3321.4978271862587,13375.426059336556,3321.4978271862587
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 (c2),38.54390579617527,12.871825072356263,50.527253480881626,4.633788650205382,53.666666666666664,4.027681991198191,51.0,4.546060565661952,,,,,,
