model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_pp @ d32768 (c1),1349.525298045539,3.049623219855066,1349.525298045539,3.049623219855066,,,,,24283.79791866367,54.784509898135894,24281.995394655194,54.784509898135894,24283.79791866367,54.784509898135894
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_tg @ d32768 (c1),39.221521001888455,3.293372483895896,39.221521001888455,3.293372483895896,40.0,3.265986323710904,40.0,3.265986323710904,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp8192 @ d32768 (c1),1211.92256967063,4.317534991569214,1211.92256967063,4.317534991569214,,,,,6761.395848006941,24.020916857098754,6759.593323998463,24.020916857098754,6772.534527000971,34.802682107387284
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 @ d32768 (c1),48.40311684593425,3.7699452847430543,48.40311684593425,3.7699452847430543,48.666666666666664,3.7712361663282534,48.666666666666664,3.7712361663282534,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_pp @ d32768 (c2),1270.3899160652882,9.747145241952339,940.9326512412631,305.75381598160646,,,,,38939.88055899778,12655.290146225521,38938.07803498931,12655.290146225523,38939.88055899778,12655.290146225521
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,ctx_tg @ d32768 (c2),8.938479440443084,0.21598850584176543,41.45929066027726,6.063544300684957,44.333333333333336,5.312459150169743,42.0,6.137317546507322,,,,,,
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,pp8192 @ d32768 (c2),1025.0405859542368,23.212463094154035,719.086433710536,206.67767262240702,,,,,12422.169405996101,3579.1355954471646,12420.366881987624,3579.135595447164,12422.169405996101,3579.1355954471646
Mia-AiLab/GLM-5.3-Flash-EXL3-TR3-4bpw,tg128 @ d32768 (c2),24.98767815281458,2.8052348686490025,45.97005336091248,10.861923804173466,53.666666666666664,4.109609335312651,46.5,10.981044273352754,,,,,,
